"D83",9681,◑
"D84",9684,◔
"D86",9682,◒
"D87",9685,◕
"D89",9683,◓
"D8A",9677,◍
"D8C",9680,◐
"D8D",9673,◉
"D8F",9679,●
"D93",9687,◗
"D9C",9686,◖
"DA0",9676,◌
"DC0",9711,◯
"DD4",9678,◎
"DE1",9719,◷
"DE2",9718,◶
"DE4",9717,◵
"DE8",9716,◴
"E00",9744,☐
"E01",9745,☑
"E02",9746,☒
"E03",9931,⛋
"E04",9949,⛝
"E05",9974,⛶
"E06",10063,❏
"E07",10064,❐
"E08",10065,❑
"E09",10066,❒
"E51",9889,⚡
"E5A",64435,﮳
"E61",9965,⛭
"E62",9760,☠
"E63",9762,☢
"E64",9763,☣
"E65",9888,⚠
"E68",64443,﮻
"E6A",64152,滛
"E6B",64147,望
"E91",9834,♪
"E92",9835,♫
"E94",9837,♭
"E96",9839,♯
"E97",9197,⏭
"E98",9198,⏮
"E99",9199,⏯
"E9A",9208,⏸
"EA1",8228,․
"EA2",8226,•
"EA5",8230,…
"EAD",4960,፠
"EAE",4962,።
"EAF",4968,፨
"EB2",9929,⛉
"EB3",9930,⛊
"F02",5827,ᛃ
"F03",9992,✈
"F04",9883,⚛
