MissionName,MissionTime,Altitude,Pressure(Atm),Pressure(kPa)
Prodigal A-II,404.403,127843.785174452,1.24808490345876E-08,1.26462202842959E-06
Prodigal A-II,404.523,127723.20800262,1.26929556308215E-08,1.28611372929299E-06
Prodigal A-II,404.583,127662.871541624,1.2799469510699E-08,1.29690624817158E-06
Prodigal A-II,404.643,127602.503161575,1.29063031611046E-08,1.30773116779892E-06
Prodigal A-II,404.703,127542.102861987,1.30134262879881E-08,1.31858541863039E-06
Prodigal A-II,404.763,127481.670641989,1.31208489893662E-08,1.32947002384753E-06
Prodigal A-II,404.823,127421.206500866,1.32285824852576E-08,1.34038612031873E-06
Prodigal A-II,404.883,127360.710438595,1.33365987256158E-08,1.35133086587302E-06
Prodigal A-II,404.943,127300.182454163,1.34449212724798E-08,1.36230664793402E-06
Prodigal A-II,405.063,127179.030716866,1.36624224536214E-08,1.38434495511319E-06
Prodigal A-II,405.123,127118.406963017,1.37716111859157E-08,1.39540850341291E-06
Prodigal A-II,405.183,127057.751284857,1.38810837846787E-08,1.40650081448257E-06
Prodigal A-II,405.243,126997.063674632,1.39908380059067E-08,1.4176216609485E-06
Prodigal A-II,405.303,126936.344131597,1.41008704835942E-08,1.42877070175018E-06
Prodigal A-II,405.363,126875.59266239,1.42111812177411E-08,1.43994793688762E-06
Prodigal A-II,405.423,126814.80926674,1.43217657203401E-08,1.45115291161346E-06
Prodigal A-II,405.483,126753.993943912,1.44326363334115E-08,1.46238687648292E-06
Prodigal A-II,405.603,126632.267506364,1.45437627629054E-08,1.47364676195139E-06
Prodigal A-II,405.663,126571.356393439,1.47668279512343E-08,1.49624884215882E-06
Prodigal A-II,405.723,126510.413351055,1.4878763344064E-08,1.50759069583728E-06
Prodigal A-II,405.783,126449.438378624,1.49909590413234E-08,1.51895892486209E-06
Prodigal A-II,405.843,126388.43147535,1.51034105550052E-08,1.5303530744859E-06
Prodigal A-II,405.903,126327.392640842,1.52161190071113E-08,1.54177325839555E-06
Prodigal A-II,405.903,126266.32187468,1.53290787876324E-08,1.55321890815685E-06
Prodigal A-II,406.023,126205.21917601,1.54422898965685E-08,1.5646900237698E-06
Prodigal A-II,406.083,126144.084544368,1.55557478459121E-08,1.57618615048705E-06
Prodigal A-II,406.203,126021.719479691,1.57834132418371E-08,1.59925434672914E-06
Prodigal A-II,406.263,125960.489045658,1.58975993703831E-08,1.61082425620407E-06
Prodigal A-II,406.323,125899.226676201,1.60120390713479E-08,1.62241985890432E-06
Prodigal A-II,406.383,125837.932371127,1.61267143927017E-08,1.6340393358405E-06
Prodigal A-II,406.443,125776.606129336,1.62416073824149E-08,1.64568086802319E-06
Prodigal A-II,406.503,125715.247950774,1.6356744968532E-08,1.65734718393651E-06
Prodigal A-II,406.563,125653.857834517,1.64721091990234E-08,1.66903646459104E-06
Prodigal A-II,406.623,125592.435780033,1.6587700073889E-08,1.6807487099868E-06
Prodigal A-II,406.743,125469.495854599,1.68195617567429E-08,1.70424209500197E-06
Prodigal A-II,406.803,125407.977982289,1.69358123686979E-08,1.71602118825831E-06
Prodigal A-II,406.863,125346.428169568,1.70522772830067E-08,1.72782199570065E-06
Prodigal A-II,406.923,125284.846415672,1.71689710856934E-08,1.73964599525789E-06
Prodigal A-II,406.923,125223.232720313,1.7285856750697E-08,1.75148943526438E-06
Prodigal A-II,407.043,125161.587082799,1.74029668160711E-08,1.76335561263841E-06
Prodigal A-II,407.103,125099.909502511,1.75202810857824E-08,1.7752424810169E-06
Prodigal A-II,407.163,125038.199978804,1.76377816078012E-08,1.78714822141046E-06
Prodigal A-II,407.283,124914.685098644,1.77554975541758E-08,1.79907578967686E-06
Prodigal A-II,407.343,124852.879744016,1.7991515131892E-08,1.82299027073896E-06
Prodigal A-II,407.403,124791.042449744,1.81098268612503E-08,1.83497820671619E-06
Prodigal A-II,407.463,124729.173214511,1.82283136228976E-08,1.8469838778401E-06
Prodigal A-II,407.523,124667.272037289,1.83469843928488E-08,1.8590081936054E-06
Prodigal A-II,407.583,124605.338917336,1.84658548791297E-08,1.87105274562782E-06
